УСТРОЙСТВО ИДЕНТИФИКАЦИИ ПОЛЬЗОВАТЕЛЕЙ ЭВМ (ВАРИАНТЫ);Ложников П.С., Перевальский В.А., Патронов К.С.;;https://www.elibrary.ru//item.asp?id=38404155;-
СРАВНЕНИЕ АЛГОРИТМОВ КОМПЛЕКСИРОВАНИЯ ПРИЗНАКОВ В ЗАДАЧАХ РАСПОЗНАВАНИЯ ОБРАЗОВ;Епифанцев Б.Н., Ложников П.С., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=17660413;-
УСТРОЙСТВО ДЛЯ КОМПЛЕКСНОГО ВОЗДЕЙСТВИЯ ЭЛЕКТРОМАГНИТНЫМ ПОЛЕМ;Березовский В.А., Рябоконь Д.С., Патронов К.С., Ложников П.С.;;https://www.elibrary.ru//item.asp?id=38388293;-
HANDWRITING DYNAMICS AS A MEANS OF AUTHENTICATION;Lozhnikov P., Chernikova O.;;https://www.elibrary.ru//item.asp?id=18035472;-
"ИНТЕЛЛЕКТУАЛЬНАЯ ТРАНСПОРТНАЯ СИСТЕМА ГОРОДА ОМСКА ""МОЙ МАРШРУТ""";Ложников П.С., Рудаков Д.Ю.;;https://www.elibrary.ru//item.asp?id=26628340;-
КОМПЛЕКСИРОВАННАЯ СИСТЕМА ИДЕНТИФИКАЦИИ ЛИЧНОСТИ ПО ДИНАМИКЕ ПОДСОЗНАТЕЛЬНЫХ ДВИЖЕНИЙ;Епифанцев Б.Н., Сулавко А.Е., Борисов Р.В., Ложников П.С.;;https://www.elibrary.ru//item.asp?id=18813991;-
ПОДХОД К ПОВЫШЕНИЮ НАДЕЖНОСТИ ИДЕНТИФИКАЦИИ ПОЛЬЗОВАТЕЛЕЙ ПЭВМ ПО ДИНАМИКЕ НАПИСАНИЯ ПАРОЛЕЙ;Ложников П.С., Ерёменко А.В.;;https://www.elibrary.ru//item.asp?id=17012477;-
ИДЕНТИФИКАЦИЯ ПОЛЬЗОВАТЕЛЯ ПЭВМ ПО РУКОПИСНОМУ ПАРОЛЮ: КОНКУРЕНТНЫЕ ВОЗМОЖНОСТИ *;Епифанцев Б.Н., Еременко А.В., Ложников П.С.;;https://www.elibrary.ru//item.asp?id=17882449;-
ОПЫТ СОЗДАНИЯ ЭЛЕКТРОННОГО МУНИЦИПАЛИТЕТА В Г. ОМСКЕ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=15523536;-
"ОПЫТ ПОДГОТОВКИ И ПРОВЕДЕНИЯ ЗАНЯТИЙ НА ИНОСТРАННОМ ЯЗЫКЕ НА ФАКУЛЬТЕТЕ ""ИНФОРМАЦИОННЫЕ СИСТЕМЫ В УПРАВЛЕНИИ"" СИБАДИ";Ложников П.С., Черникова О.В.;;https://www.elibrary.ru//item.asp?id=17913856;-
МЕТОДЫ ЗАЩИТЫ ЦИФРОВОЙ ВИДЕОИНФОРМАЦИИ ПРИ ЕЕ ПЕРЕДАЧЕ В РАСПРЕДЕЛЕННЫХ КОМПЬЮТЕРНЫХ СЕТЯХ;Щерба Е.В.;;https://www.elibrary.ru//item.asp?id=19215006;-
ИДЕНТИФИКАЦИЯ ЛИЧНОСТИ ПО РУКОПИСНЫМ ПАРОЛЯМ;Ложников П.С., Ерёменко А.В.;;https://www.elibrary.ru//item.asp?id=18042688;-
ИДЕНТИФИКАЦИЯ ПОЛЬЗОВАТЕЛЯ ПЭВМ ПО РУКОПИСНОМУ ПАРОЛЮ: ЭКОНОМИЧЕСКИЕ АСПЕКТЫ;Епифанцев Б.Н., Ложников П.С., Еременко А.В.;;https://www.elibrary.ru//item.asp?id=12891038;-
ОБЕСПЕЧЕНИЕ БЕЗОПАСНОСТИ СЕТЕВОЙ ИНФРАСТРУКТУРЫ НА ОСНОВЕ ОПЕРАЦИОННЫХ СИСТЕМ MICROSOFT;Ложников П.С., Михайлов Е.М.;;https://www.elibrary.ru//item.asp?id=22314806;-
"РАЗРАБОТКА ВEБ-ПОРТАЛА ""ОМСКАЯ ОБЛАСТЬ - ТОЧКА НА КАРТЕ""";Ложников П.С., Гордеева О.И., Шумляковская А.В.;;https://www.elibrary.ru//item.asp?id=30496806;-
ТЕХНОЛОГИИ ВЫДЕЛЕНИЯ ИНФОРМАТИВНЫХ ПРИЗНАКОВ В СИСТЕМАХ ИДЕНТИФИКАЦИИ ЛИЧНОСТИ ПО ДИНАМИКЕ НАПИСАНИЯ РУКОПИСНЫХ ПАРОЛЕЙ;Епифанцев Б.Н., Ложников П.С., Еременко А.В.;;https://www.elibrary.ru//item.asp?id=46529214;-
