Название;Авторы;Информация;Ссылка;Год публикации
"ГЕНДЕРНЫЕ СТРАТЕГИИ ПЕРЕВОДОВ РОМАНА ""НАД ПРОПАСТЬЮ ВО РЖИ"" ДЖ. СЭЛИНДЖЕРА";Бровина А.В., Маленко Е.Ю.;;https://www.elibrary.ru//item.asp?id=60785938;2024
"""DOING GENDER"" В РЕЧЕВОМ ПОВЕДЕНИИ";Бровина А.В.;;https://www.elibrary.ru//item.asp?id=54179246;2023
К ВОПРОСУ О ДЕФИНИЦИЯХ БИОЛОГИЧЕСКОГО ПОЛА, ГРАММАТИЧЕСКОГО РОДА И ГЕНДЕРА;Бровина А.В., Маленко Е.Ю.;;https://www.elibrary.ru//item.asp?id=54331629;2023
ТЕОРЕТИЧЕСКАЯ ФОНЕТИКА АНГЛИЙСКОГО ЯЗЫКА;-;;https://www.elibrary.ru//item.asp?id=54159005;2022
ОСОБЕННОСТИ ХУДОЖЕСТВЕННОГО ЖАНРА ФЭНТЕЗИ В АНГЛИЙСКОМ И РУССКОМ ЯЗЫКАХ;Бровина А.В., Скакун Д.М.;;https://www.elibrary.ru//item.asp?id=49192931;2022
РУССКОЯЗЫЧНАЯ РЕКЛАМА КАК ЛИНГВОДИДАКТИЧЕСКИЙ МАТЕРИАЛ В ПРЕПОДАВАНИИ РКИ;Бровина А.В.;;https://www.elibrary.ru//item.asp?id=47154509;2021
ДОСУДЕБНОЕ ОСВОБОЖДЕНИЕ ОБВИНЯЕМЫХ В УГОЛОВНОМ СУДОПРОИЗВОДСТВЕ СОЕДИНЕННЫХ ШТАТОВ АМЕРИКИ: ИСТОРИЯ РАЗВИТИЯ И ОСНОВНЫЕ ПРИНЦИПЫ;Булыгин А.В., Булыгина Ю.Я., Бровина А.В.;;https://www.elibrary.ru//item.asp?id=44363361;2020
СТАНДАРТЫ ДОСУДЕБНОГО ОСВОБОЖДЕНИЯ ОБВИНЯЕМЫХ В США: ЗНАЧЕНИЕ И ОСНОВНЫЕ ИДЕИ;Булыгин А.В., Булыгина Ю.Я., Бровина А.В.;;https://www.elibrary.ru//item.asp?id=44057013;2020
УЧЕБНОЕ ПОСОБИЕ ПО НЕМЕЦКОМУ ЯЗЫКУ ДЛЯ БАКАЛАВРОВ;Бровина А.В.;;https://www.elibrary.ru//item.asp?id=28164568;2017
СПЕЦИФИКА ПЕРЕВОДА ГАЗЕТНЫХ ЗАГОЛОВКОВ С АНГЛИЙСКОГО ЯЗЫКА НА РУССКИЙ;Бетаев А.М.;;https://www.elibrary.ru//item.asp?id=30089806;2017
ОСОБЕННОСТИ ПЕРЕВОДА ПОЛИТКОРРЕКТНОЙ ЛЕКСИКИ (НА МАТЕРИАЛЕ ВЫСТУПЛЕНИЙ АНГЛОЯЗЫЧНЫХ ПОЛИТИКОВ);Варфоломеев Ю.В.;;https://www.elibrary.ru//item.asp?id=30089807;2017
УЧЕБНОЕ ПОСОБИЕ ПО НЕМЕЦКОМУ ЯЗЫКУ;Бровина А.В.;;https://www.elibrary.ru//item.asp?id=28165937;2016
УВЕДОМЛЕНИЕ ОБ ОБРАЩЕНИЯХ В ЦЕЛЯХ СКЛОНЕНИЯ К СОВЕРШЕНИЮ КОРРУПЦИОННЫХ ПРАВОНАРУШЕНИЙ: НЕКОТОРЫЕ ПРОБЛЕМЫ РЕГУЛИРОВАНИЯ;Булыгин А.В., Бровина А.В.;;https://www.elibrary.ru//item.asp?id=24245420;2015
SPEZIALVERFAHREN DER HAUPTVERHANDLUNG IM STRAFVERFAHREN RUSSLANDS: EINZELNE GESICHTSPUNKTE DER BEWEISFГHRUNG;Bulygin A.V., Brovina A.V.;;https://www.elibrary.ru//item.asp?id=22432128;2014
УЧЕБНО-МЕТОДИЧЕСКОЕ ПОСОБИЕ ДЛЯ ПОДГОТОВКИ К КАНДИДАТСКОМУ ЭКЗАМЕНУ ПО ИНОСТРАННОМУ ЯЗЫКУ;Бровина А.В., Хопияйнен О.А.;;https://www.elibrary.ru//item.asp?id=41589110;2013
ЗНАЧЕНИЕ ПЛАНИРОВАНИЯ ДЛЯ ТУРИСТСКОЙ СФЕРЫ;Бровина А.В.;;https://www.elibrary.ru//item.asp?id=18753840;2012
